"Formularz";"Nazwa pola";"Logiczna nazwa pola";"Typ pola";"Zrodlo wartosci";"Opis logiki";"Moment aktualizacji";"Uwagi"
"Pakiet oferty cenowej";"Sprzedaż budżetowa oferta";"neu_totalbudgetsale";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pakiet oferty cenowej";"Marża brutto";"neu_totalmarginbrutto";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pakiet oferty cenowej";"Marża brutto (%)";"neu_totalmarginbruttopercent";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pakiet oferty cenowej";"Wartość Pakietu netto";"neu_totalamountnetto";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pakiet oferty cenowej";"Wartość Pakietu brutto";"neu_totalamountbrutto";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pakiet oferty cenowej";"Produkty";"";"Do uzupelnienia";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Placowka";"Nazwa";"neu_name";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Placowka";"Beneficjent";"neu_receiverid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Placowka";"Produkt Przetargu";"neu_tenderproductid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Placowka";"Ilość jednostek miary";"neu_unitamount";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Placowka";"Pole wynikowe OutputQuantity";"neu_outputquantity";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Placowka";"Przetarg";"neu_tenderid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Placowka";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Placowka";"Data utworzenia";"createdon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Placowka oferty cenowej";"Nazwa";"neu_name";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Placowka oferty cenowej";"Beneficjent";"neu_receiverid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Placowka oferty cenowej";"Ilość jednostek miary";"neu_unitamount";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Placowka oferty cenowej";"Placówka";"neu_institution_receiverid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Placowka oferty cenowej";"Produkt oferty cenowej";"neu_quotedetailid";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Placowka oferty cenowej";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Pozycja cennika producenta";"Nazwa";"neu_name";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja cennika producenta";"Cennik";"neu_producerpricelistid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Pozycja cennika producenta";"Cena";"neu_price";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja cennika producenta";"Produkt SAP";"neu_productid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Pozycja cennika producenta";"Limit ilościowy";"neu_saleslimit";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja cennika producenta";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Pozycja ZPZK";"Nazwa";"neu_name";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK";"Cena ZPZK";"neu_amount";"Waluta";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK";"Przetarg";"neu_tenderid";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK";"Produkt SAP";"neu_productid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Pozycja ZPZK";"Warunki ZPZK";"neu_tradetermsid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Pozycja ZPZK";"Limit ilościowy ZPZK";"neu_saleslimit";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK";"Kod EAN";"neu_eancode";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK";"Sposób rozliczania";"neu_settlementmethod";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Pozycja ZPZK";"Data utworzenia";"createdon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Pozycja ZPZK";"Ilość";"neu_unitamount";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK";"Numer Oferty Producenta";"neu_code";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK";"Wysłany do SAP";"neu_issenttosap";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK";"Produkty Przetargu";"";"Do uzupelnienia";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK Produkt Dopasowany";"Nazwa";"neu_name";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK Produkt Dopasowany";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Pozycja ZPZK Produkt Dopasowany";"Pozycja ZPZK";"neu_listtradetermsid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Pozycja ZPZK Produkt Dopasowany";"Ilość";"neu_unitamount";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK Produkt Dopasowany";"Produkt Dopasowany";"neu_mappedproductid";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Pozycja ZPZK Produkt Dopasowany";"Przetarg";"neu_tenderid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Producent";"Producent";"neu_name";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Kod SAP";"neu_sapcode";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Sposób rozliczania";"neu_settlementmethod";"Opcje wyboru";"Wybór uzytkownika lub ustawiane wedlug logiki";"Do uzupelnienia na podstawie analizy biznesowej i konfiguracji (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Producent";"Przedstawiciel";"neu_contactid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Producent";"Adres e-mail";"emailaddress";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Telefon";"neu_phone";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Fax";"neu_fax";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Ulica";"neu_street";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Kod pocztowy";"neu_postalcode";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Miasto";"neu_city";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Kraj";"neu_country";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Producent lecznictwa";"neu_isproducerofproduct";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Producent udziela warunków dla Lecznictwa";"neu_istenderzpzkproducer";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Plugin do generowania emaila";"neu_createemailflag";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Notatka";"neu_note";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Wyślij informację o wygranym przetargu";"WebResource_ButtonProducerCreateEmail";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Działania";"";"Do uzupelnienia";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Notatki";"";"Do uzupelnienia";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent";"Producenci farmaceutyczni";"";"Do uzupelnienia";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Przyczyna stanu";"statuscode";"Opcje wyboru
- Aktywne : 1
- Nieaktywne : 2";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Producent Pharmindex";"Nazwa";"neu_name";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Producent sprzedażowy";"neu_producersapid";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Kod SAP";"neu_sapcode";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Rodzaj";"neu_type";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Producent własny";"neu_isownproducer";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"ID Pharmindex";"neu_pharmindexid";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Status";"neu_state";"Opcje wyboru
- Aktywny : 279660000
- Nieaktywny : 279660001";"Wybór uzytkownika lub ustawiane wedlug logiki";"Do uzupelnienia na podstawie analizy biznesowej i konfiguracji (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Producent Pharmindex";"Opis";"neu_description";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Przedstawiciel";"neu_contactid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Producent Pharmindex";"E-mail";"neu_email";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Telefon";"neu_phone";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Fax";"neu_fax";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Ulica";"neu_adress_line1";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Nr domu";"neu_adress_line2";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Nr lokalu";"neu_adress_line3";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Kod pocztowy";"neu_adress_postalcode";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Miasto";"neu_adress_city";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Powiat";"neu_adress_district";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Województwo";"neu_adress_province";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Kraj";"neu_country";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Produkty Pharmindex";"";"Do uzupelnienia";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Pharmindex";"Utworzony przez";"createdby";"Lookup";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Producent Pharmindex";"Zmodyfikowane przez";"modifiedby";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Producent Pharmindex";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Producent Pharmindex";"Data utworzenia";"createdon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Utworzenie rekordu";""
"Producent Pharmindex";"Data modyfikacji";"modifiedon";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Producent Preferowany";"Nazwa";"neu_name";"Tekst";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Preferowany";"Pakiet";"neu_tenderbundleid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Producent Preferowany";"Producent sprzedażowy";"neu_producersapid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Producent Preferowany";"Priorytet";"neu_prioritycode";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Producent Preferowany";"Właściciel";"ownerid";"Do uzupelnienia (brak w modelu)";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Produkt Dopasowany";"Przyczyna stanu";"statuscode";"Opcje wyboru
- Aktywne : 1
- Nieaktywne : 2";"Pole systemowe - ustawiane przez platforme D365";"Wartosc nadawana automatycznie przy utworzeniu lub zapisie rekordu";"Zapis rekordu";""
"Produkt Dopasowany";"% Marża brutto";"neu_marginbruttopercent";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Dopasowany";"Nazwa";"neu_name";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Dopasowany";"Przetarg";"neu_tenderid";"Do uzupelnienia (brak w modelu)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan)";"Do uzupelnienia na podstawie analizy biznesowej (repo: Neuca.Crm.Magellan).";"Do uzupelnienia";""
"Produkt Dopasowany";"Struktura Przetargu";"neu_tenderstructureid";"Lookup";"Wpisane przez uzytkownika (wybor rekordu)";"Pole lookup - powiazanie z innym obiektem w systemie. Do uzupelnienia szczegoly biznesowe (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
"Produkt Dopasowany";"Typ dopasowania";"neu_type";"Opcje wyboru
- alternatywnik nr 1 : 279660002
- alternatywnik nr 2 : 279660003
- alternatywnik nr 3 : 279660004
- produkt główny : 279660000
- produkt równoważny : 279660001";"Wybór uzytkownika lub ustawiane wedlug logiki";"Do uzupelnienia na podstawie analizy biznesowej i konfiguracji (repo: Neuca.Crm.Magellan).";"Zapis rekordu";""
